Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons
The Lego Movie 2: The Second Part,2019,PG,08 Feb 2019,107 min,"Animation, Adventure, Comedy",Mike Mitchell,"Phil Lord, Christopher Miller, Matthew Fogel","Chris Pratt, Elizabeth Banks, Will Arnett","It's been five years since everything was awesome and the citizens are facing the huge new threat of Lego Duplo, invaders from outer space, wrecking everything faster than they can rebuild.",English,"Denmark, Norway, Australia, United States",1 win & 17 nominations total,https://m.media-amazon.com/images/M/MV5BMTkyOTkwNDc1N15BMl5BanBnXkFtZTgwNzkyMzk3NjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,6.5,"80,461",tt3513498,movie,N/A,"$105,956,290",N/A,N/A,True,
The Angry Birds Movie 2,2019,PG,14 Aug 2019,97 min,"Animation, Action, Adventure","Thurop Van Orman, John Rice","Peter Ackerman, Eyal Podell, Jonathon E. Stewart","Jason Sudeikis, Josh Gad, Leslie Jones",The flightless birds and scheming green pigs take their feud to the next level.,English,"Finland, United States, Australia, Canada, United Kingdom",1 win & 4 nominations total,https://m.media-amazon.com/images/M/MV5BOGJkNzYyZmYtOGJkNy00NDExLWEwOWEtZDcxYmRmYTg1YTI3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '72%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60,6.4,"38,210",tt6095472,movie,N/A,"$41,667,116",N/A,N/A,True,
Between Two Ferns: The Movie,2019,TV-MA,20 Sep 2019,82 min,Comedy,Scott Aukerman,"Scott Aukerman, Zach Galifianakis","Zach Galifianakis, Matthew McConaughey, Rekha Shankar",Zach Galifianakis and his oddball crew take a road trip to complete a series of high-profile celebrity interviews.,English,United States,Nominated for 1 Primetime Emmy. 1 win & 2 nominations total,https://m.media-amazon.com/images/M/MV5BMGRhMmFmODItYzkwZS00MzAyLTk3NjEtYjNiNzg0ZTdhOTZmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59,6.1,"37,471",tt9398640,movie,N/A,N/A,N/A,N/A,True,
Deadwood: The Movie,2019,TV-MA,31 May 2019,110 min,"Drama, Western",Daniel Minahan,"David Milch, Bryan Law","Timothy Olyphant, Ian McShane, Molly Parker","As the residents of Deadwood gather to commemorate Dakota's statehood in 1889, saloon owner Al Swearengen and Marshal Seth Bullock clash with Senator George Hearst.","English, Chinese",United States,Nominated for 8 Primetime Emmys. 3 wins & 36 nominations total,https://m.media-amazon.com/images/M/MV5BMWYyYTU0OGYtNDU3MS00ZmQyLTk5YmQtMjQ0YWI4YzAxNWFmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}]",N/A,7.3,"27,168",tt4943998,movie,N/A,N/A,N/A,N/A,True,
A Shaun the Sheep Movie: Farmageddon,2019,G,14 Feb 2020,86 min,"Animation, Adventure, Comedy","Will Becher, Richard Phelan","Mark Burton, Jon Brown, Richard Starzak","Justin Fletcher, John Sparkes, Amalia Vitale","When an alien with amazing powers crash-lands near Mossy Bottom Farm, Shaun the Sheep goes on a mission to shepherd the intergalactic visitor home before a sinister organization can capture her.",English,"United Kingdom, France",Nominated for 1 Oscar. 2 wins & 22 nominations total,https://m.media-amazon.com/images/M/MV5BNjg2MDJmYmYtYzc2MC00MzEyLTg3MmQtMDU4Mjc4MzdlM2VjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",79,6.8,"16,356",tt6193408,movie,N/A,N/A,N/A,N/A,True,
Threat Level Midnight: The Movie,2019,TV-14,06 Sep 2011,25 min,"Action, Comedy",Tucker Gates,"Greg Daniels, B.J. Novak, Ricky Gervais","Steve Carell, John Krasinski, Rainn Wilson","After secret agent Michael Scarn (Steve Carell) is forced into retirement after the death of his wife Catherine Zeta-Scarn, the President of the United States of America (Craig Robinson) requests that he prevents Goldenface (John ...",English,"United Kingdom, United States",N/A,https://m.media-amazon.com/images/M/MV5BZjMzNzE4ZGItMDI5Zi00ZjE3LThkODctYTlhZWY1ZTdmMGNjXkEyXkFqcGdeQXVyOTExNzM4NDM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.6/10'}]",N/A,9.6,"10,193",tt11620828,movie,N/A,N/A,N/A,N/A,True,
Steven Universe: The Movie,2019,TV-PG,02 Sep 2019,82 min,"Animation, Action, Adventure","Rebecca Sugar, Joseph D. Johnston, Kat Morris","Matt Burnett, Hilary Florido, Joseph D. Johnston","Zach Callison, Michaela Dietz, Estelle","Steven thinks his time defending the Earth is over, but when a new threat comes to Beach City, Steven faces his biggest challenge yet.",English,United States,2 nominations total,https://m.media-amazon.com/images/M/MV5BZTAxMTY1ZDAtMmY0Yy00Mzk1LTk3MzItZTA3YjM1NTMxMmRiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.7,"9,820",tt10515852,movie,N/A,N/A,N/A,N/A,True,
Playmobil: The Movie,2019,PG,06 Dec 2019,99 min,"Animation, Adventure, Comedy",Lino DiSalvo,"Michael LaBash, Lino DiSalvo, Blaise Hemingway","Anya Taylor-Joy, Jim Gaffigan, Gabriel Bateman","When her younger brother Charlie unexpectedly disappears into the magical, animated universe of PLAYMOBIL®, unprepared Marla must go on a quest of a lifetime to bring him home, setting off on a fantastic journey across stunning ne...","English, German","France, United Kingdom, Germany, China, United States, Canada",N/A,https://m.media-amazon.com/images/M/MV5BZTZkYWFkN2ItYzlkNi00ZWIwLWE3NjMtNGEzMDEzOTQwZDljXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '18%'}, {'Source': 'Metacritic', 'Value': '25/100'}]",25,4.9,"4,884",tt4199898,movie,N/A,"$1,115,008",N/A,N/A,True,
The Banana Splits Movie,2019,R,13 Aug 2019,89 min,"Comedy, Horror, Thriller",Danishka Esterhazy,"Jed Elinoff, Scott Thomas","Dani Kind, Steve Lund, Celina Martin",Young Harley is having a dream birthday; he and his family are going to watch the taping of his favourite show. But the dream becomes a nightmare when the animatronic stars turn homicidal.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNjQ2NDczMTItNWVkNy00YmRiLWFkMjgtZjVhNzE2ZTRkZjEyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '58%'}]",N/A,5.1,"4,876",tt9831136,movie,N/A,N/A,N/A,N/A,True,
Horrible Histories: The Movie - Rotten Romans,2019,N/A,26 Jul 2019,88 min,"Comedy, Family, History",Dominic Brigstocke,"Caroline Norris, Giles Pilbrow, Kevin Cecil","Sebastian Croft, Emilia Jones, Nick Frost","Atti, a smart and quick-witted Roman teenager, manages to upset Emperor Nero with one of his schemes. For punishment, Atti is sent to work in a cold and wet Britain where he also meets the Celts.",English,"United Kingdom, Switzerland, United States",Nominated for 1 BAFTA Award2 nominations total,https://m.media-amazon.com/images/M/MV5BZDczZGNlNzUtNjY2Zi00M2NmLWE5YTMtMzUyYWJkN2Q3NTAxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}]",N/A,5.4,"3,349",tt7715070,movie,N/A,N/A,"Altitude Films, Citrus Films, Stavingoh Films",N/A,True,
